Hylak_id,Lake_area,glacier_lake_id,rgi_name,area0_km2,lat,lon
47219,1.64,24221,Arctic Canada South,1.637487296690115,63.7939,-65.5158
1381496,0.62,116239,South Asia East,0.752709806396682,28.3203,93.0466
892322,0.3,3923,Western Canada and USA,0.337833240597003,52.5989,-117.497
1268479,0.17,108025,Scandinavia,0.21631476453174,62.308,7.844
141821,1.24,34792,Scandinavia,1.071902489027246,66.8378,13.9913
1276886,0.18,107773,Scandinavia,0.550367724040808,61.4738,6.25968
1381451,0.27,92033,South Asia East,0.259743271243807,28.3708,85.8905
613883,0.28,27786,Alaska,0.326530998459739,60.8569,-141.176
119564,1.15,9314,Low Latitudes,1.161105848610842,-12.6089,-75.7897
1282707,0.21,107029,Scandinavia,0.24656019146922,60.6753,7.06434
1266035,0.23,108139,Scandinavia,0.251361729198269,62.5055,8.27772
479624,0.29,23783,Arctic Canada South,0.321747173706294,64.3877,-65.8379
138475,1.18,35237,Scandinavia,1.106163392741332,68.2509,17.6844
1217014,0.27,34901,Scandinavia,0.166844671292277,66.6277,14.7299
153074,1.97,33801,Scandinavia,1.984080791259245,62.0274,7.30024
1058848,0.82,246,Western Canada and USA,0.895482739290338,37.5511,-118.962
1381323,0.29,117114,South Asia East,0.368184565022751,28.5129,96.3985
657725,0.31,100840,Alaska,0.361788743259546,59.7409,-153.694
564019,0.21,23352,Arctic Canada South,0.243277263502683,62.1701,-66.5353
1276541,0.53,34471,Scandinavia,0.513175948762601,61.5265,8.27521
478140,0.15,8237,Western Canada and USA,0.122386673389747,64.4244,-130.792
617008,0.27,27011,Alaska,1.290192417382837,60.773,-143.741
493867,0.28,24393,Arctic Canada South,0.271067107938226,64.0381,-65.3052
1266688,0.21,34396,Scandinavia,0.055354945270187,62.4549,8.10886
1178357,0.53,109772,Scandinavia,0.688931495110164,69.2613,20.2887
1169443,0.44,109669,Scandinavia,0.595687381468056,69.8622,19.2296
1268883,0.25,34036,Scandinavia,0.254565100090773,62.2757,7.6293
1227191,0.42,108668,Scandinavia,0.440740875637202,65.7215,14.3607
1264341,0.21,34511,Scandinavia,0.170894901749808,62.628,8.42011
1283791,0.39,107320,Scandinavia,0.449887606977516,60.538,7.56237
1186875,0.33,109617,Scandinavia,0.394702681481442,68.8112,18.8723
1230114,0.52,108424,Scandinavia,0.578631305726002,65.4483,13.0548
1276955,0.24,107775,Scandinavia,0.300782008130618,61.4664,6.36765
1183165,0.52,109747,Scandinavia,0.94670975706255,68.9943,20.0369
1381549,0.9,93182,Central Asia,1.068410930516073,28.2783,90.2259
1290336,0.27,106525,Scandinavia,0.302735870860124,59.7543,6.60819
1264000,0.32,34595,Scandinavia,0.298726513429871,62.6564,8.90954
139854,1.53,109197,Scandinavia,1.536211332426323,67.8601,18.1012
476058,0.18,23582,Arctic Canada South,0.277391201737124,64.4638,-65.9628
486450,0.15,24099,Arctic Canada South,0.150301602546987,64.2211,-65.6046
654945,0.38,29440,Alaska,0.408248362451294,59.8084,-136.242
507188,0.68,24749,Arctic Canada South,0.722919850865459,63.6866,-64.7211
1270772,0.71,34402,Scandinavia,0.736537808046434,62.1183,8.11983
732275,0.2,10049,Alaska,0.194491850293045,57.5724,-126.867
176391,1.26,95116,South Asia East,1.30128278203735,29.3018,96.0847
702563,0.24,29220,Alaska,0.212724566677076,58.4716,-136.609
1276615,0.53,107883,Scandinavia,0.73063829027154,61.5143,8.42435
930599,0.3,4553,Western Canada and USA,0.364862790635068,51.3429,-116.263
1095937,0.66,11049,Low Latitudes,0.831516763283609,-16.9766,-67.3841
984833,0.3,4810,Western Canada and USA,0.367715914680041,48.9384,-114.003
675231,0.16,24878,Arctic Canada South,0.306583917759844,59.2883,-63.9535
176706,1.03,92930,South Asia East,1.140842955148807,28.0268,88.7104
1382203,0.22,93016,South Asia East,0.65595257182886,27.8087,89.2304
692867,0.53,25127,Alaska,0.488935434223113,58.7717,-154.635
1200098,0.28,35332,Scandinavia,0.22974857670818,68.0862,18.0885
1283868,0.24,106964,Scandinavia,0.439479690216962,60.5302,7.11417
1382126,0.31,92325,South Asia East,0.411313924138824,27.8743,86.5863
5001,50.29,31213,Alaska,71.2801961199,59.1879,-138.126
576604,0.41,27149,Alaska,0.314326907130039,61.8378,-143.393
471336,0.16,24265,Arctic Canada South,0.195508033989043,64.5761,-65.4721
65563,1.36,30270,Alaska,3.614713781712147,58.8896,-133.861
739927,0.15,30897,Alaska,0.131193986562697,57.3237,-130.531
703605,0.21,30449,Alaska,0.179982716495092,58.4321,-132.828
961584,0.64,6818,Western Canada and USA,0.673677244582277,50.1025,-121.849
67485,3.04,31215,Alaska,3.911306079692468,58.4055,-154.18
1190854,0.43,109453,Scandinavia,0.645850512352592,68.6155,17.0609
62164,1.11,29368,Alaska,1.128259319434912,59.7847,-136.35
123531,3.82,13179,Southern Andes,3.802246375560658,-48.5335,-72.9148
